index,username,tweet_id,tweet_text,org,relevant,category,query,datetime_of_tweet,datetime_of_query,link,mentioned_location,location,image
608,PHETSIAM,1706980032848318950,แยกอโศก มีกลุ่มรถเข็น มาตั้งขายของกันเยอะขึ้นแล้วนะ ถ้าปล่อยไว้นานๆ ก็จะเต็มทางเดินเหมือนเมื่อก่อน,municipal office,TRUE,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""อนุสาวรีย์ชัยฯ"" OR ""อรุณอมรินทร์"" OR ""อังรีดูนังต์"" OR ""อัสสัมชัญ"" OR ""อาจณรงค์"" OR ""อิสรภาพ"" OR ""อุดมสุข"" OR ""อู่ทองนอก"" OR ""อู่ทองใน"" OR ""อโศก-ดินแดง"" OR ""อโศก-เพชรบุรี"" OR ""อโศก"" OR ""อ่อนนุช"" OR ""เกษมราษฎร์"" OR ""เกียกกาย"")",2023-09-27 10:32:08,2023-11-16 16:29:11,https://twitter.com/PHETSIAM/status/1706980032848318950,อโศก,,['https://pbs.twimg.com/media/F7BpSW0aoAAPsCF?format=jpg&name=small']
621,le0reoerror,1706844140854727034,ฟุตบาทพญาไท โคตรกล่องสุ่ม มีฝนตกครั้งไหนไหมที่เดินอยู่ดีๆแล้วพวกน้ำขังหรืออะไรข้างใต้จะไม่กระเด็นขึ้นมาโดน,department of public work,TRUE,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""พระนคร"" OR ""หนองจอก"" OR ""บางรัก"" OR ""บางเขน"" OR ""บางกะปิ"" OR ""ปทุมวัน"" OR ""ป้อมปราบศัตรูพ่าย"" OR ""พระโขนง"" OR ""มีนบุรี"" OR ""ลาดกระบัง"" OR ""ยานนาวา"" OR ""สัมพันธวงศ์"" OR ""พญาไท"" OR ""ธนบุรี"" OR ""บางกอกใหญ่"")",2023-09-27 1:32:09,2023-11-16 15:16:13,https://twitter.com/le0reoerror/status/1706844140854727034,พญาไท,,[]
646,YedTood_V2,1706651018942099574,สีลมยุคชัชชาติ ซ่อมฟุตบาทได้เหี้ยมาก ติ่งชัชชาติแถว่าเหมือน ที่oLมsิกๅ Hollywood ดาราใช้ฝ่ามือแปะเป็นที่ระลึก อันนี้ใช้ตีน,department of public work,TRUE,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""กรุงเทพ"" OR ""กทม"" OR ""ชัชชาติ"")",2023-09-26 12:44:45,2023-11-16 14:52:12,https://twitter.com/YedTood_V2/status/1706651018942099574,สีลม,,['https://pbs.twimg.com/media/F68-DdFbsAAywDc?format=jpg&name=small']
690,tookta1957,1706174313806893511,เขตป้อมปราบศัตรูพ่าย เยอะนะคะ ถนนทุกสายรอบวงเวียน22กรกฎา ผู้มีอิทธิพล ต่อเติม ขายอาหารบนถนน และฟุตบาท ถนนสันติภาพ ทางเท้า คือ ที่ซ่อมรถ เปลี่ยนยาง มานานแสนนาน ยังอยู่มากมาย รอบวงเวียนทุกถนน,municipal office,TRUE,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""พระนคร"" OR ""หนองจอก"" OR ""บางรัก"" OR ""บางเขน"" OR ""บางกะปิ"" OR ""ปทุมวัน"" OR ""ป้อมปราบศัตรูพ่าย"" OR ""พระโขนง"" OR ""มีนบุรี"" OR ""ลาดกระบัง"" OR ""ยานนาวา"" OR ""สัมพันธวงศ์"" OR ""พญาไท"" OR ""ธนบุรี"" OR ""บางกอกใหญ่"")",2023-09-25 5:10:30,2023-11-16 15:16:13,https://twitter.com/tookta1957/status/1706174313806893511,ป้อมปราบศัตรูพ่าย,,[]
692,chtipnkel1,1706122528195010868,ว่างๆไปดูตามซอยต่างๆด้วย ที่เห็นคือ ซอย จรัญสนิทวงศ์ 22 หน้าวัดอัมพวา บนทางเท้าพ่อค้าแม่ค้าสร้างเพิงขายของถาวร จนประชาชน และเด็กนักเรียนต้องเดินบนพื้นถนน เสี่ยงรถชนมาก.,municipal office,TRUE,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""คลองตัน"" OR ""คลองเตย"" OR ""คอนแวนต์"" OR ""งามดูพลี"" OR ""งามวงศ์วาน"" OR ""จตุรทิศ"" OR ""จรัญสนิทวงศ์"" OR ""จอมทอง"" OR ""จักรวรรดิ"" OR ""จันทน์"" OR ""ชัยพฤกษ์"" OR ""ชิดลม"" OR ""ณ ระนอง"" OR ""ดาวคะนอง"" OR ""ดินสอ"")",2023-09-25 1:44:43,2023-11-16 15:34:00,https://twitter.com/chtipnkel1/status/1706122528195010868,จรัญสนิทวงศ์,,['https://pbs.twimg.com/media/F61FtTvX0AAUsKn.jpg']
697,JomJam73131,1706030033327038572,ตีสองครึ่งแล้ว พวกขี้เหล้ามยังไม่กลับบ้านกลับช่องกันอีก กรรมเวรของลูกบ้านคอนโดที่ร้านเหล้าผุดเป็นดอกเห็ดอยู่ตรงข้าม สน.บางซื่อ มันเริ่ด ทั้งเหลาเหลาบนทางเท้า ร้านเหล้าที่ร้านปิดแต่คนไม่จบ เอาลำโพงมาเปิดพร้อมตะโกนร้องเพลงดังแค่ไหน สายตรวจก็ไม่ได้ยิน สน.ที่อยู่ใกล้ๆ ก็ไม่ได้ยิน,police department,TRUE,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""ห้วยขวาง"" OR ""คลองสาน"" OR ""ตลิ่งชัน"" OR ""บางกอกน้อย"" OR ""บางขุนเทียน"" OR ""ภาษีเจริญ"" OR ""หนองแขม"" OR ""ราษฎร์บูรณะ"" OR ""บางพลัด"" OR ""ดินแดง"" OR ""บึงกุ่ม"" OR ""สาทร"" OR ""บางซื่อ"" OR ""จตุจักร"" OR ""บางคอแหลม"")",2023-09-24 19:37:11,2023-11-16 15:20:42,https://twitter.com/JomJam73131/status/1706030033327038572,บางซื่อ,,[]
705,perryfong90,1705916876457685434,"ฝากดู
- สะพานสามแยกตรงโลตัส SCG ครับ ผิวเริ่มเป็นหลุมลึกๆ 2 จุด ฝั่งติดโลตัส
- ทางเท้า ประชาราษฎร์สาย 2 ถัดจากแยกเตาปูน ฝั่งธ.ออมสิน มาจนถึง The Stage เหมือนเพิ่งมีก่อสร้าง แล้วปิดผิวทางเท้าคืนเป็นหลุมๆ ตลอดทาง",department of public work,TRUE,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""เจริญกรุง"" OR ""เจริญนคร"" OR ""เจริญราษฎร์"" OR ""เชื้อเพลิง"" OR ""เตาปูน"" OR ""เทพลีลา"" OR ""เทียมร่วมมิตร"" OR ""เพชรบุรี"" OR ""เพชรเกษม"" OR ""เพลินจิต"" OR ""เยาวราช"" OR ""เย็นอากาศ"" OR ""เลียบทางด่วน"" OR ""เลียบด่วน"" OR ""เลียบทางด่วนเอกมัย-รามอินทรา"")",2023-09-24 12:07:32,2023-11-16 16:34:05,https://twitter.com/perryfong90/status/1705916876457685434,เตาปูน,,[]
723,dax_34,1705772424187535858,ขับรถผ่านเส้นสีลมตอนกลางคืนตอนนี้เละยิ่งกว่าเละ รถยนต์มอเตอร์ไซจอดเต็ม ขายของเต็มฟุตบาทคนไทยรึเปล่าก็ไม่รู้,municipal office,TRUE,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""สาทร"" OR ""สาทรเหนือ"" OR ""สาทรใต้"" OR ""สาธุประดิษฐ์"" OR ""สามย่าน"" OR ""สามเสน"" OR ""สายไหม"" OR ""สายไหม-ลำลูกกา"" OR ""สำเพ็ง"" OR ""สิรินธร"" OR ""สีลม"" OR ""สี่พระยา"" OR ""สุขสวัสดิ์"" OR ""สุขุมวิท"" OR ""สุทธิสาร"")",2023-09-24 2:33:32,2023-11-16 16:20:05,https://twitter.com/dax_34/status/1705772424187535858,สีลม,,[]
747,goingginggo,1705197759970906309,ละแถวเส้นบางนาใครติดป้ายอะไรไว้มาเก็บที ทางเท้าไม่ใช่ทางเท้า อห ทั้งมอไซทั้งป้ายที่ไม่เก็บ ไม่มีทางให้เดินละ,police department,TRUE,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""บางนา"" OR ""ทวีวัฒนา"" OR ""ทุ่งครุ"" OR ""บางบอน"" OR ""กรุงธนบุรี"" OR ""กรุงเทพกรีฑา"" OR ""กล้วยน้ำไท"" OR ""กัลปพฤกษ์"" OR ""กัลยาณไมตรี"" OR ""กาญจนาภิเษก"" OR ""กำแพงเพชร"" OR ""กิ่งแก้ว"" OR ""ขี้เสือใหญ่สามัคคี"" OR ""ข้าวสาร"" OR ""ครุใน"")",2023-09-22 12:30:01,2023-11-16 15:29:44,https://twitter.com/goingginggo/status/1705197759970906309,บางนา,,[]
772,ningnttd_,1704844210149691840,คือลาดพร้าวคือไม่ได้รับความปรับปรุงจริงจังสักทีเลยหรอ เดินบนฟุตบาทอยู่ดีๆ ก็ดูปกติเหยียบเท่านั้น รู้เรื่อง ฟุตบาทกินคน #ฝนตก,department of public work,TRUE,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""ประเวศ"" OR ""คลองเตย"" OR ""สวนหลวง"" OR ""จอมทอง"" OR ""ดอนเมือง"" OR ""ราชเทวี"" OR ""ลาดพร้าว"" OR ""วัฒนา"" OR ""บางแค"" OR ""หลักสี่"" OR ""สายไหม"" OR ""คันนายาว"" OR ""สะพานสูง"" OR ""วังทองหลาง"" OR ""คลองสามวา"")",2023-09-21 13:05:08,2023-11-16 15:25:10,https://twitter.com/ningnttd_/status/1704844210149691840,ลาดพร้าว,,[]
801,wisan399,1704132465781272779,"ที่เยาวราช
ตอนกลางคืน
มันไม่ได้แค่ตั้ง
ขายบนฟุตบาทนะ
แต่ตั้งขาย
กันบนถนนเลยทีเดียว
ดื่มสุรากัน
กลาดเกลื่อน
ผมเกลียดเศรษฐกิจท่องเที่ยวมาก
ถ้าอยากมีสัมมาอาชีวะ
ต้องเศรษฐกิจสร้างสรรค์",municipal office,TRUE,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""เจริญกรุง"" OR ""เจริญนคร"" OR ""เจริญราษฎร์"" OR ""เชื้อเพลิง"" OR ""เตาปูน"" OR ""เทพลีลา"" OR ""เทียมร่วมมิตร"" OR ""เพชรบุรี"" OR ""เพชรเกษม"" OR ""เพลินจิต"" OR ""เยาวราช"" OR ""เย็นอากาศ"" OR ""เลียบทางด่วน"" OR ""เลียบด่วน"" OR ""เลียบทางด่วนเอกมัย-รามอินทรา"")",2023-09-19 13:56:55,2023-11-16 16:34:05,https://twitter.com/wisan399/status/1704132465781272779,เยาวราช,,[]
812,kunthi_kunthida,1703779539099480565,ฝากรบกวนดูพื้นที่ฟุตบาท และมไซที่จอดข้างทาง รวมถึงคนนั่งดื่มแอลกอฮอล์ที่ฟุตบาทในซอยศาลาแดง 2 ด้วยนะคะ,police department,TRUE,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""ศาลาธรรมสพน์"" OR ""ศาลาแดง"" OR ""ศิริพงษ์"" OR ""สนามไชย"" OR ""สมเด็จพระนเรศวรมหาราช"" OR ""สมเด็จพระปิ่นเกล้า"" OR ""สมเด็จพระเจ้าตากสิน"" OR ""สมเด็จเจ้าพระยา"" OR ""สวนสยาม"" OR ""สวนหลวง"" OR ""สวรรคโลก"" OR ""สะพานควาย"" OR ""สะพานพุทธ"" OR ""สังคโลก"" OR ""สาทร-คอนแวนต์"")",2023-09-18 14:34:31,2023-11-16 16:15:34,https://twitter.com/kunthi_kunthida/status/1703779539099480565,ศาลาแดง,,[]
820,axeloom,1703679760277409926,เคยตั้งคำถามกับสิ่งนี้ว่าทำไมพอเราไปเมืองนอกเราเดินได้เป็นหมื่นก้าวแต่อยู่ไทยคือแค่จะเดินสัก500เมตรเราก็ไม่เดินแล้ว เราว่าหลักๆคือสภาพฟุตบาทก่อนเลยเอาง่ายๆไม่ต้องมองไกล ฟุตบาทหน้าq houseสาทรที่ในเมืองมาก ระยะไม่เกิน50เมตรเดินไปจะเจอทั้งฟุตบาทแตก เสาไฟฟ้าที่กินไปครึ่งนึงรถเข็นอีก,department of public work,TRUE,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""ห้วยขวาง"" OR ""คลองสาน"" OR ""ตลิ่งชัน"" OR ""บางกอกน้อย"" OR ""บางขุนเทียน"" OR ""ภาษีเจริญ"" OR ""หนองแขม"" OR ""ราษฎร์บูรณะ"" OR ""บางพลัด"" OR ""ดินแดง"" OR ""บึงกุ่ม"" OR ""สาทร"" OR ""บางซื่อ"" OR ""จตุจักร"" OR ""บางคอแหลม"")",2023-09-18 7:58:02,2023-11-16 15:20:42,https://twitter.com/axeloom/status/1703679760277409926,สาทร,,[]
830,tld29_,1703623475154596178,อยากให้มาดูงานฟุตบาทแถวบางนาเป็นเกลียดคลื่น เดินแบบหน้าต้องมองพื้นไม่งั้นสะดุดตาย,department of public work,TRUE,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""บางนา"" OR ""ทวีวัฒนา"" OR ""ทุ่งครุ"" OR ""บางบอน"" OR ""กรุงธนบุรี"" OR ""กรุงเทพกรีฑา"" OR ""กล้วยน้ำไท"" OR ""กัลปพฤกษ์"" OR ""กัลยาณไมตรี"" OR ""กาญจนาภิเษก"" OR ""กำแพงเพชร"" OR ""กิ่งแก้ว"" OR ""ขี้เสือใหญ่สามัคคี"" OR ""ข้าวสาร"" OR ""ครุใน"")",2023-09-18 4:14:22,2023-11-16 15:29:44,https://twitter.com/tld29_/status/1703623475154596178,บางนา,,[]
841,satonchair,1703381843666669798,เมื่อวานเดินมศวไปบีทีเอสอโศก ฉันคิดคำคมออกเลยว่าคนประเทศบางกอกมันเงยหน้ามองสูงไม่ได้หรอก ต้องมองแต่พื้นดินเท่านั้น เพราะหลุดไปนิดนึงก้สะดุดทางเท้าตายละ,department of public work,TRUE,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""อนุสาวรีย์ชัยฯ"" OR ""อรุณอมรินทร์"" OR ""อังรีดูนังต์"" OR ""อัสสัมชัญ"" OR ""อาจณรงค์"" OR ""อิสรภาพ"" OR ""อุดมสุข"" OR ""อู่ทองนอก"" OR ""อู่ทองใน"" OR ""อโศก-ดินแดง"" OR ""อโศก-เพชรบุรี"" OR ""อโศก"" OR ""อ่อนนุช"" OR ""เกษมราษฎร์"" OR ""เกียกกาย"")",2023-09-17 12:14:13,2023-11-16 16:29:11,https://twitter.com/satonchair/status/1703381843666669798,อโศก,,[]
843,noeyNJPs,1703370914161999963,เคยเดินจากอโศกไปทองหล่อด้วยเหตุจำเป็น โชคดีเป็นตอนกลางคืน เดินได้สบายๆ แต่ระหว่างทางเหมือนเล่นเกมผ่านด่าน ไหนจะหลุม ลุ้นว่าเดินไปแผ่นปูนที่เป็นบล้อคๆมันจะเด้งออกมาไหม ไหนจะต้องหลบมอไซ(ทางเท้านะ) กลับถึงห้องข้อเท้าบวมจ้า รองเท้าคือยับเยิน,department of public work,TRUE,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""ดินแดง"" OR ""ตรีเพชร"" OR ""ตากสิน"" OR ""ทรงวาด"" OR ""ทวีวัฒนา"" OR ""ทองหล่อ"" OR ""ท่าข้าม"" OR ""ท่าดินแดง"" OR ""ท่าทราย"" OR ""ท่าพระ"" OR ""ท้ายวัง"" OR ""ธนิยะ"" OR ""นครปฐม"" OR ""นครราชสีมา"" OR ""นครลุง"")",2023-09-17 11:30:47,2023-11-16 15:38:26,https://twitter.com/noeyNJPs/status/1703370914161999963,ทองหล่อ,,[]
863,justmameowmeow,1703273350859194488,บ่นหน่อยซอยข้างๆห้าง Terminal21 ซอยสุขุมวิทซััมติงๆอ่ะ คือจะเอาต้นไม้มาขวางทางเดินเพื่อ? แล้วคนต้องออกมาเดินในเส้นถนนที่รถขับไปมา ตรงร่องๆระหว่างต้นไม้ก็มีร้านรถเข็นมาตั้งอีกยิ่งหลบยากใหญ่ เดินไปทำงานทีเหมือนยืมชีวิตแมวที่บ้านมาใช้,municipal office,TRUE,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""สาทร"" OR ""สาทรเหนือ"" OR ""สาทรใต้"" OR ""สาธุประดิษฐ์"" OR ""สามย่าน"" OR ""สามเสน"" OR ""สายไหม"" OR ""สายไหม-ลำลูกกา"" OR ""สำเพ็ง"" OR ""สิรินธร"" OR ""สีลม"" OR ""สี่พระยา"" OR ""สุขสวัสดิ์"" OR ""สุขุมวิท"" OR ""สุทธิสาร"")",2023-09-17 5:03:06,2023-11-16 16:20:05,https://twitter.com/justmameowmeow/status/1703273350859194488,สุขุมวิท,,['https://pbs.twimg.com/media/F6M-FPIbYAEhth5?format=jpg&name=900x900']
870,Anyaluck,1703252745774678099,นี่ชอบเดินมาก ช่วง staycation เคยลองเดินจากราชประสงค์ไปเอ็มโพตามแนวรถไฟฟ้าบอกเลยว่า มันไม่น่าเดินเลย ระยะทางไม่ใช่ปัญหาสำหรับเราแต่อุปสรรคเยอะพอตัว มีทั้งช่วงมืดดูอันตราย คนจรจัด ทางเดินไม่เรียบ ไม่มีทางเท้า รถเข็นขายของบล็อคทางเดิน สุนัขจร และอีกเยอะ เรายังรักชีวิตอยู่ อย่าหาทำ,municipal office,TRUE,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""ยมราช"" OR ""ยานนาวา"" OR ""ยี่สิบสองกรกฎาคม"" OR ""รัชดา-ท่าพระ"" OR ""รัชดาภิเษก"" OR ""รางน้ำ"" OR ""ราชดำริ"" OR ""ราชดำเนินกลาง"" OR ""ราชดำเนินนอก"" OR ""ราชดำเนินใน"" OR ""ราชบพิธ"" OR ""ราชประสงค์"" OR ""ราชปรารภ"" OR ""ราชพฤกษ์"" OR ""ราชวิถี"")",2023-09-17 3:41:14,2023-11-16 16:01:37,https://twitter.com/Anyaluck/status/1703252745774678099,ราชประสงค์,,[]
871,_momiji01,1703247036949418288,นี่เคยเดินจากสวนหนองจอกกลับบ้าน ใช้เวลาประมาณสามสิบ-สี่สิบนาที เดินแบบไม่รีบไม่เอื่อย เจอฟุตบาทพังไม่พอ มอไซขับบนทางเท้าเยอะมากๆ คนเดินต้องหลบ สายไฟห้อยก็มี และร้านขายกัญชาข้างทางหลายร้านเลย บางทีเจอแบบยืนเมากัน น่ากัวมาก ㅠㅠ ปัจจัยที่มันไม่น่าเดินมีอีกเยอะอะในประเทศนี้,department of public work,TRUE,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""พระนคร"" OR ""หนองจอก"" OR ""บางรัก"" OR ""บางเขน"" OR ""บางกะปิ"" OR ""ปทุมวัน"" OR ""ป้อมปราบศัตรูพ่าย"" OR ""พระโขนง"" OR ""มีนบุรี"" OR ""ลาดกระบัง"" OR ""ยานนาวา"" OR ""สัมพันธวงศ์"" OR ""พญาไท"" OR ""ธนบุรี"" OR ""บางกอกใหญ่"")",2023-09-17 3:18:33,2023-11-16 15:16:13,https://twitter.com/_momiji01/status/1703247036949418288,หนองจอก,,[]
919,ToyJoyKandy,1702290701365784804,แกรรร…2 สาวนักท่องเที่ยวไม่เกาหลีก็น่าจะจีน ลากกระเป๋าเดินทางใบใหญ่แบบทุลักทุเลท่ามกลางฝนตกเพราะพื้นฟุตบาธมันไม่เรียบ แถมทางเดินก็แคบมาก มีเสาปูน เสาไฟ กั้นกลางอีก  สรุปพวกนางเลยลากกระเป๋าลงมาเข็นที่พื้นถนนที่รถติดเยอะๆ แทน พิกัดซ.ข้าง gateway เอกมัย,department of public work,TRUE,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""เศรษฐศิริ"" OR ""เสนานิคม"" OR ""เสรีไทย"" OR ""เสาชิงช้า"" OR ""เสือป่า"" OR ""เอกชัย"" OR ""เอกมัย"" OR ""แจ้งวัฒนะ"" OR ""แปลงนาม"" OR ""แฮปปี้แลนด์"" OR ""โชคชัย 4"" OR ""ไฟฉาย"")",2023-09-14 11:58:24,2023-11-16 16:38:12,https://twitter.com/ToyJoyKandy/status/1702290701365784804,เอกมัย,,"['https://pbs.twimg.com/media/F5_AXX0bgAAur5w?format=jpg&name=small', 'https://pbs.twimg.com/media/F5_AXYibIAAB-Yv?format=jpg&name=small']"
922,pompomcoffee,1702267473003729275,เป็นคนชอบเดินมากเลยนะ แต่ก็ต้องยอมรับว่ากรุงเทพมันไม่เอื้อต่อการเดินเท่าไหร่ อย่างเมื่อกี้เดินจากคอนโดตรงเพลินจิตมาขึ้น mrt ที่อโศก มันต้องผ่านนานาอ่ะ สภาพแวดล้อมคือไม่ได้เลย ทั้งกลิ่นเหม็น ทั้งร้านขายของบนทางเท้า ทั้งนททที่ส่วนมากเป็นแขก เต่าบินตลบอบอวลมากแม่มึง,municipal office,TRUE,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""กรุงเทพ"" OR ""กทม"" OR ""ชัชชาติ"")",2023-09-14 10:26:06,2023-11-16 14:52:12,https://twitter.com/pompomcoffee/status/1702267473003729275,นานา,,[]
937,dearestpark,1702205304698474563,นี่ชอบเดินมาก กลับไทยคราวที่แล้วโชคดีมากเพราะอากาศไม่ร้อน เดินสามสี่ชม.ตรงฝั่งพระนคร แต่บอกตรงนี้เลยว่าเหนื่อยเพราะลำพังเราตัวคนเดียวระวังตกท่อ สะดุดนั่นนี่ หลบคนขายของบนทางเท้าได้ แต่นี่คือลูกกับผัวเค้าไม่ได้ชินกับอะไรแบบนี้ ชั้นลุ้นจนเหนื่อย ขนลุกกับสภาพถนนฟุตบาทบางที่ /1,department of public work,TRUE,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""พระนคร"" OR ""หนองจอก"" OR ""บางรัก"" OR ""บางเขน"" OR ""บางกะปิ"" OR ""ปทุมวัน"" OR ""ป้อมปราบศัตรูพ่าย"" OR ""พระโขนง"" OR ""มีนบุรี"" OR ""ลาดกระบัง"" OR ""ยานนาวา"" OR ""สัมพันธวงศ์"" OR ""พญาไท"" OR ""ธนบุรี"" OR ""บางกอกใหญ่"")",2023-09-14 6:19:04,2023-11-16 15:16:13,https://twitter.com/dearestpark/status/1702205304698474563,พระนคร,,[]
940,SSSMKXX,1702195992031060120,คนไทยติดสบายจริงค่ะ ขนาดรถจอดบนฟุตบาทไม่มีทางเดินยังไม่มีใครว่าเลย อันนี้ย่านอโศก,police department,TRUE,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""อนุสาวรีย์ชัยฯ"" OR ""อรุณอมรินทร์"" OR ""อังรีดูนังต์"" OR ""อัสสัมชัญ"" OR ""อาจณรงค์"" OR ""อิสรภาพ"" OR ""อุดมสุข"" OR ""อู่ทองนอก"" OR ""อู่ทองใน"" OR ""อโศก-ดินแดง"" OR ""อโศก-เพชรบุรี"" OR ""อโศก"" OR ""อ่อนนุช"" OR ""เกษมราษฎร์"" OR ""เกียกกาย"")",2023-09-14 5:42:04,2023-11-16 16:29:11,https://twitter.com/SSSMKXX/status/1702195992031060120,อโศก,,"['https://pbs.twimg.com/media/F59qOHRaUAAwmxi?format=jpg&name=small', 'https://pbs.twimg.com/media/F59qOHRbcAAf_14?format=jpg&name=small', 'https://pbs.twimg.com/media/F59qOHObgAABTzd?format=jpg&name=small']"
958,c33w_k,1702163742673522909,ถ้าทางเท้ามันดี เราจะสามารถเดินจากพร้อมพงษ์ ไปได้สยามได้เลยค่ะ นี่กับน้องเคยลองเดิน เดินค่อนข้างลำบากมาก ทั้งเสาไฟ สายไฟ ฟุตบาตแคบ กระเบื้องน้ำพุ่ง ร้านขายของ มอไซด์ทางเท้าและอีกมากมาย นั่งบีทีเอสดีกว่า,municipal office,TRUE,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""พร้อมพงษ์"" OR ""พหลโยธิน"" OR ""พัฒนาการ"" OR ""พาหุรัด"" OR ""พิบูลสงคราม"" OR ""พิษณุโลก"" OR ""พุทธบูชา"" OR ""พุทธมณฑล สาย 1"" OR ""พุทธมณฑล สาย 2"" OR ""พุทธมณฑล สาย 3"" OR ""มหรรณพ"" OR ""มหาไชย"" OR ""มอเตอร์เวย์"" OR ""มิตรภาพไทย-จีน"" OR ""มไหสวรรย์"")",2023-09-14 3:33:55,2023-11-16 15:56:58,https://twitter.com/c33w_k/status/1702163742673522909,พร้อมพงษ์,,[]
1003,noknok169,1701508987211116570,"มีคนบอกว่าส่วนที่เป็นสีเหลืองมีลักษณะขรุขระแบบนี้ตามทางเดินบนฟุตบาทใน กทม คือสร้างไว้ให้คนตาบอดเดิน
ถามว่าแล้วที่เห็นอยู่เนี่ยคนตาบอดเดินได้มั้ยพิกัดหน้าซอยรามคำแหง96
#ทางเท้า
ต้องแท็กใครบ้างช่วยบอกที",department of public work,TRUE,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""ราชินี"" OR ""รามคำแหง"" OR ""รามคำแหง-ศรีนครินทร์"" OR ""รามอินทรา"" OR ""ราษฎร์บูรณะ"" OR ""ร่มเกล้า"" OR ""ร่มเกล้า-สุวินทวงศ์"" OR ""ลาซาล"" OR ""ลาซาล-แบริ่ง"" OR ""ลาดกระบัง"" OR ""ลาดปลาเค้า"" OR ""ลาดพร้าว"" OR ""ลาดพร้าววังหิน"" OR ""ลาดหญ้า"" OR ""วงศ์สว่าง"")",2023-09-12 8:12:09,2023-11-16 16:06:14,https://twitter.com/noknok169/status/1701508987211116570,รามคำแหง,,[]
1005,Poor__cherry,1701501439196184947,ห้วยขวางบ่อย ทั้งจีนทั้งไทยขับรถตัวเฮียเกินขึ้นมาจอดบนฟุตบาทก็มี,police department,TRUE,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""ห้วยขวาง"" OR ""คลองสาน"" OR ""ตลิ่งชัน"" OR ""บางกอกน้อย"" OR ""บางขุนเทียน"" OR ""ภาษีเจริญ"" OR ""หนองแขม"" OR ""ราษฎร์บูรณะ"" OR ""บางพลัด"" OR ""ดินแดง"" OR ""บึงกุ่ม"" OR ""สาทร"" OR ""บางซื่อ"" OR ""จตุจักร"" OR ""บางคอแหลม"")",2023-09-12 7:42:10,2023-11-16 15:20:42,https://twitter.com/Poor__cherry/status/1701501439196184947,ห้วยขวาง,,[]
